"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"77","RT @seanfeucht: “Children don’t do what we say, they do what we do.”

(Last night, my kids rallied to pray over my baby whose been perpetua…",FALSE,0,NA,2019-03-08 17:43:54,FALSE,NA,"1104075283467067393",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Marilyn_Deane",526,TRUE,FALSE,NA,NA
"78","RT @AngusReid: What comes next as SNC “ he said, she said” winds down? The polls. The ones that I believe, including my own, put the CPC ab…",FALSE,0,NA,2019-03-08 17:37:26,FALSE,NA,"1104073654130728960",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","punditclass",74,TRUE,FALSE,NA,NA
"79","RT @seanfeucht: “Children don’t do what we say, they do what we do.”

(Last night, my kids rallied to pray over my baby whose been perpetua…",FALSE,0,NA,2019-03-08 17:37:18,FALSE,NA,"1104073618919690242",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","ElizabethHNewe1",526,TRUE,FALSE,NA,NA
"80","RT @seanfeucht: “Children don’t do what we say, they do what we do.”

(Last night, my kids rallied to pray over my baby whose been perpetua…",FALSE,0,NA,2019-03-08 17:34:17,FALSE,NA,"1104072863408099333",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","lexcreativz",526,TRUE,FALSE,NA,NA
"81","RT @AngusReid: What comes next as SNC “ he said, she said” winds down? The polls. The ones that I believe, including my own, put the CPC ab…",FALSE,0,NA,2019-03-08 17:34:09,FALSE,NA,"1104072829115424768",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","richardhatch14",74,TRUE,FALSE,NA,NA
"82","RT @AngusReid: What comes next as SNC “ he said, she said” winds down? The polls. The ones that I believe, including my own, put the CPC ab…",FALSE,0,NA,2019-03-08 17:32:42,FALSE,NA,"1104072461476380672",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","peeco28",74,TRUE,FALSE,NA,NA
"83","RT @seanfeucht: “Children don’t do what we say, they do what we do.”

(Last night, my kids rallied to pray over my baby whose been perpetua…",FALSE,0,NA,2019-03-08 17:29:21,FALSE,NA,"1104071620572909568",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","its_annie6",526,TRUE,FALSE,NA,NA
"84","RT @AngusReid: What comes next as SNC “ he said, she said” winds down? The polls. The ones that I believe, including my own, put the CPC ab…",FALSE,0,NA,2019-03-08 17:23:29,FALSE,NA,"1104070144068866048",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","chicago_canada",74,TRUE,FALSE,NA,NA
"85","RT @AngusReid: What comes next as SNC “ he said, she said” winds down? The polls. The ones that I believe, including my own, put the CPC ab…",FALSE,0,NA,2019-03-08 17:14:19,FALSE,NA,"1104067835976810497",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RayHeard",74,TRUE,FALSE,NA,NA
"86","RT @seanfeucht: “Children don’t do what we say, they do what we do.”

(Last night, my kids rallied to pray over my baby whose been perpetua…",FALSE,0,NA,2019-03-08 17:03:57,FALSE,NA,"1104065228373925888",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Tobito_SAMA",526,TRUE,FALSE,NA,NA
"87","RT @seanfeucht: “Children don’t do what we say, they do what we do.”

(Last night, my kids rallied to pray over my baby whose been perpetua…",FALSE,0,NA,2019-03-08 16:52:30,FALSE,NA,"1104062344936644608",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","swethabaski09",526,TRUE,FALSE,NA,NA
"88","RT @AngusReid: What comes next as SNC “ he said, she said” winds down? The polls. The ones that I believe, including my own, put the CPC ab…",FALSE,0,NA,2019-03-08 16:51:57,FALSE,NA,"1104062208042917890",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DCTFTW",74,TRUE,FALSE,NA,NA
"89","RT @DDdivine: @TMZ So did I. Got the flu last year, even with the flu shot. But it turned out I contracted a bacterial pneumococcous lung i…",FALSE,0,NA,2019-03-08 16:50:04,FALSE,NA,"1104061734715682817",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DDdivine",1,TRUE,FALSE,NA,NA
